development,selection,pop,line,centroid,t14,t16,t20.5,t25,t28,t30,t32,t36
25,S,S4,SC4.4.3,1862.111,1,0,11,20,0,24,0,0
25,S,S4,SC4.5.1,1724.075,NA,15.5,3,37,18,NA,3,1
25,S,S4,SC4.6.2,NA,0,0,7,38,32,0,3,0
25,S,S4,SC4.7.3,1803.928,0,NA,0,34,32,8,7,0
25,S,S4,SC4.9.2,1754.086,0,0,0,0,0,3,6,0
25,S,S4,SC4.10.2,NA,NA,5,1,NA,61,20,11,3
25,S,S4,SH4.2.1,1873.221,0,3,12,61,26,0,23,0
25,S,S4,SH4.5.3,1894.612,2,2,41,8,50,48,40,NA
25,S,S4,SH4.6.3,1923.181,0,4,NA,NA,19,37,1,NA
25,S,S4,SH4.7.3,NA,1,0,27,NA,1,6,0,0
25,S,S4,SH4.7.4,NA,0,0,4,NA,5,6,NA,NA
25,S,S5,SC5.1.3,1805.42,0,9,0,34,17,18,15,0
25,S,S5,SC5.3.1,NA,NA,0,NA,NA,54,NA,NA,NA
25,S,S5,SC5.4.1,1929.251,0,1,37,36,23,9,12,1
25,S,S5,SC5.5.1,1483.945,0,0,6,52,8,NA,0,1
25,S,S5,SC5.7.3,NA,0,0,5,31,26,15,0,17.5
25,S,S5,SC5.8.4,1911.282532,3,0,NA,23,30,55,16,6
25,S,S5,SC5.9.2,1819.749685,0,0,10,NA,24,30,61,NA
25,S,S5,SH5.6.1,1859.208,NA,0,29,NA,37,NA,14,0
25,S,S5,SH5.7.4,NA,0,0,8,NA,51,24,29,0
25,T,T1,T1.1.2,1860.662,7,3,40,78,82,69,80,0
25,T,T1,T1.2.1,1749.709,0,1,2,36,NA,40,37,NA
25,T,T1,T1.2.3,NA,0,16,42,47,52,28,0,1
25,T,T1,T1.3.1,NA,0,0,4,47,6,8,23,13
25,T,T1,T1.4.3,1675.836,0,0,0,0,NA,0,NA,0
25,T,T1,T1.5.3,1854.005,0,7,27,41,45,33,0,1
25,T,T1,T1.5.4,NA,NA,0,NA,0,NA,NA,NA,NA
25,T,T1,T1.6.1,1778.283,NA,2,NA,30,NA,NA,20,NA
25,T,T1,T1.6.2,NA,0,0,1,NA,62,NA,NA,3
25,T,T1,T1.7.3,NA,0,0,7,NA,9.5,NA,18.5,0
25,T,T1,T1.7.4,1439.653,0,3,17,78,NA,29,15,5
25,T,T1,T1.8.1,1889.938,NA,0,NA,NA,NA,NA,NA,NA
25,T,T1,T1.8.4,1859.4,0,0,NA,69,73,10,0,5
25,T,T1,T1.9.2,NA,0,3,30,72,NA,0,16,0
25,T,T1,T1.10.1,1806.864,NA,3,NA,33,NA,58,NA,NA
25,T,T1,T1.10.4,1816.901,0,8,12,52,NA,18,14,2
25,T,T2,T2.2.4,NA,0,3,44,NA,27,11,13,0
25,T,T2,T2.3.2,1891.943,0,0,NA,NA,31.5,110,20,NA
25,T,T2,T2.4.1,1813.735,0,6.5,38.5,0,37.5,102,11,0
25,T,T2,T2.4.3,1853.698,0,4,NA,53,12,NA,NA,NA
25,T,T2,T2.6.2,1899.792,0,0,3,34,56,NA,22,1
25,T,T2,T2.7.2,1950.859,0,0,NA,8,43,0,NA,0
25,T,T2,T2.7.3,1820.424,0,0,NA,18,NA,NA,20,0
25,T,T2,T2.8.3,1876.428,0,10,NA,74,NA,NA,11,NA
25,T,T2,T2.9.3,1928.544,0,4,35,43,NA,6,26,10
25,T,T2,T2.9.4,1902.869,0,2,13,7,2,NA,NA,1
25,T,T2,T2.10.4,1832.898,NA,9,NA,NA,NA,NA,NA,NA
25,T,T3,T3.2.3,1799.69,NA,2,47,NA,40,NA,18,0
25,T,T3,T3.2.4,1857.83,5,0,40.5,NA,80,36,20,6
25,T,T3,T3.3.3,1902.632,3,8,9,65,34,NA,NA,NA
25,T,T3,T3.3.4,1863.248,0,0,1,2,6,1,NA,NA
25,T,T3,T3.4.1,NA,0,0,NA,59,NA,NA,NA,0
25,T,T3,T3.5.3,1937.8,0,0,7,27,27,44,15,6
25,T,T3,T3.5.4,NA,NA,4,24,NA,NA,1,NA,NA
25,T,T3,T3.6.2,1985.77,NA,3,NA,29,NA,3,NA,NA
25,T,T3,T3.8.1,1885.299,NA,0,1,NA,29,NA,32,NA
25,T,T3,T3.8.3,1878.667,0,0,0,5,28,7,4,NA
25,T,T3,T3.9.1,NA,0,0,0,36,3,17,3,0
25,T,T3,T3.9.3,NA,0,NA,0,0,0,NA,0,NA
25,T,T3,T3.10.1,1852.067,1,1,4,22,NA,26.5,15,3
25,T,T4,T4.1.3,1557.612,0,6,10,23,12,76,0,1
25,T,T4,T4.1.4,1826.417,NA,1,4,34,54,1,12,0
25,T,T4,T4.3.3,1774.409,0,6,NA,NA,61.5,34,29,1
25,T,T4,T4.4.1,1824.281,0,2,21,NA,66.5,63,10,NA
25,T,T4,T4.5.3,1896.695,0,2,13,NA,NA,26,35,3
25,T,T4,T4.5.4,1968.728,NA,8,NA,28,NA,NA,NA,NA
25,T,T4,T4.6.2,NA,0,5,19,NA,77.5,16,7,NA
25,T,T4,T4.6.4,1888.992,0,2,15,NA,NA,0,11,0
25,T,T4,T4.7.3,NA,1,0,NA,67,NA,25,35,NA
25,T,T4,T4.8.2,NA,NA,5,NA,NA,NA,NA,NA,NA
25,T,T4,T4.9.2,NA,NA,0,NA,2,NA,NA,NA,NA
25,T,T4,T4.9.3,1514.991,0,NA,20,0,46,0,0,0
25,T,T4,T4.10.3,NA,3,0,13,30,11,12,11,1
25,T,T4,T4.10.4,1408.454,0,0,20,26.5,57,NA,23,1
25,T,T5,T5.1.1,1950.887,2,NA,53.5,NA,15,4,5,2
25,T,T5,T5.1.4,NA,NA,NA,NA,22,NA,NA,NA,NA
25,T,T5,T5.2.1,1857.407,NA,0,49,NA,NA,NA,NA,NA
25,T,T5,T5.2.4,NA,0,2,27,NA,11,42,NA,0
25,T,T5,T5.3.1,NA,4,7,32,NA,46,34,17,NA
25,T,T5,T5.5.1,1890.823,NA,1,71,NA,27,0,NA,13
25,T,T5,T5.6.4,1836.953,0,5,25.5,NA,NA,58,21,0
25,T,T5,T5.7.1,1806.005,0,0,4,18,1,53,36,0
25,T,T5,T5.7.2,1829.709,1,0,19,56,60,46,NA,0
25,T,T5,T5.8.4,NA,NA,2,2,0,33,NA,0,0
25,T,T5,T5.9.3,1759.221,NA,0,NA,1,0,8,0,0
25,T,T5,T5.10.1,NA,NA,NA,NA,16,NA,NA,NA,NA
25,T,T5,T5.10.4,NA,0,1,NA,0,NA,NA,NA,NA
