environment	sel	parentalACC	gen	acc23	temp	line	replicate	sex	development time	development rate	tibia lenght	growth rate	survival									
variable	inter	fromCOLD	20	yes	12	31	20yes1231a	f					0.5									
variable	inter	fromCOLD	20	yes	12	31	20yes1231a	m														
variable	inter	fromHOT	20	no	12	32	20no1232a	f					0.7									
variable	inter	fromHOT	20	no	12	32	20no1232a	m														
variable	inter	fromHOT	20	yes	12	32	20yes1232a	f					0.4									
variable	inter	fromHOT	20	yes	12	32	20yes1232b	f					0.4									
variable	inter	fromHOT	20	yes	12	32	20yes1232b	m														
variable	inter	fromHOT	20	yes	12	32	20yes1232a	m														
variable	intra		20	no	12	17	20no1217a	f					0.4									
variable	intra		20	no	12	17	20no1217b	f					0.7									
variable	intra		20	no	12	17	20no1217a	m														
variable	intra		20	no	12	17	20no1217b	m														
variable	intra		20	yes	12	17	20yes1217a	f					0.3									
variable	intra		20	yes	12	17	20yes1217b	f					0.6									
variable	intra		20	yes	12	17	20yes1217b	m														
variable	intra		20	no	12	19	20no1219a	f					0.9									
variable	intra		20	yes	12	19	20yes1219b	f					0.7									
variable	intra		20	yes	12	19	20yes1219a	f					0.7									
variable	intra		20	yes	12	19	20yes1219a	m														
variable	intra		20	yes	12	19	20yes1219b	m														
variable	intra		20	no	12	22	20no1222a	f					0.5									
variable	intra		20	no	12	22	20no1222b	f					0.9									
variable	intra		20	no	12	22	20no1222b	m														
variable	intra		20	no	12	22	20no1222a	m														
variable	intra		20	yes	12	22	20yes1222a	f					0.6									
variable	intra		20	no	12	23	20no1223a	f					0.7									
variable	intra		20	yes	12	23	20yes1223b	f					0.5									
variable	intra		20	yes	12	23	20yes1223a	f					0.6									
variable	intra		20	yes	12	23	20yes1223b	m														
variable	intra		20	no	12	24	20no1224a	f					0.8									
variable	intra		20	no	12	24	20no1224a	m														
variable	intra		20	yes	12	24	20yes1224b	f					0.5									
variable	intra		20	yes	12	24	20yes1224a	f					0.6									
variable	intra		20	yes	12	24	20yes1224a	m														
variable	intra		20	yes	12	24	20yes1224b	m														
constant	cold		20	no	15	9	20no159c	f	29.00	0.0345	6.9	0.237931034	0.4									
constant	cold		20	no	15	9	20no159a	f	29.00	0.0345	7	0.24137931	0.7									
constant	cold		20	no	15	9	20no159c	m			7.5	0.25862069										
constant	cold		20	no	15	9	20no159a	m			7.7	0.265517241										
constant	cold		20	yes	15	9	20yes159d	f	29.71	0.0337	6.875	0.23137019	0.7									
constant	cold		20	yes	15	9	20yes159b	f	30.17	0.0331			1									
constant	cold		20	yes	15	9	20yes159c	f	29.80	0.0336			1									
constant	cold		20	yes	15	9	20yes159a	f	29.30	0.0341			1									
constant	cold		20	yes	15	9	20yes159d	m			7.9	0.265865382										
constant	cold		20	no	15	10	20no1510a	f	28.10	0.0356			1									
constant	cold		20	no	15	10	20no1510a	m			7.7	0.274021352										
constant	cold		20	yes	15	10	20yes1510d	f	28.67	0.0349	6.966667	0.243023265	0.6									
constant	cold		20	yes	15	10	20yes1510a	f	29.38	0.0340			0.8									
constant	cold		20	yes	15	10	20yes1510c	f	29.38	0.0340			0.8									
constant	cold		20	yes	15	10	20yes1510b	f	29.00	0.0345			1									
constant	cold		20	yes	15	10	20yes1510d	m			8	0.279069764										
constant	cold		20	no	15	11	20no1511a	f	28.00	0.0357	6.4	0.228571429	0.5									
constant	cold		20	yes	15	11	20yes1511c	f	28.88	0.0346			0.8									
constant	cold		20	yes	15	11	20yes1511a	f	27.13	0.0369			0.8									
constant	cold		20	yes	15	11	20yes1511b	f	27.82	0.0359	7.025	0.252532678	1									
constant	cold		20	yes	15	11	20yes1511d	f	27.80	0.0360			1									
constant	cold		20	yes	15	11	20yes1511d	m			7.65	0.275179856										
constant	cold		20	no	15	12	20no1512a	f	28.00	0.0357	6.2	0.221428571	0.6									
constant	cold		20	no	15	12	20no1512a	m			7.2	0.257142857										
constant	cold		20	yes	15	12	20yes1512a	f	30.67	0.0326	6.8	0.221739128	0.3									
constant	cold		20	yes	15	12	20yes1512c	f	29.57	0.0338			0.7									
constant	cold		20	yes	15	12	20yes1512b	f	30.88	0.0324			0.8									
constant	cold		20	no	15	14	20no1514a	f	29.20	0.0342	6.45	0.220890411	1									
constant	cold		20	no	15	14	20no1514a	m			6.95	0.238013699										
constant	cold		20	yes	15	14	20yes1514b	f	27.80	0.0360			0.5									
constant	cold		20	yes	15	14	20yes1514c	f	27.40	0.0365			0.5									
constant	cold		20	yes	15	14	20yes1514d	f	27.17	0.0368	6.5	0.239263801	0.6									
constant	cold		20	yes	15	14	20yes1514a	f	28.33	0.0353			0.6									
constant	cold		20	yes	15	14	20yes1514d	m			7.233333	0.266257653										
constant	cold		20	no	15	15	20no1515b	f	27.00	0.0370			0.4									
constant	cold		20	no	15	15	20no1515a	f	28.50	0.0351	6.4	0.224561404	0.6									
constant	cold		20	no	15	15	20no1515a	m			8	0.280701754										
constant	cold		20	no	15	15	20no1515b	m			7.65	0.283333333										
constant	cold		20	yes	15	15	20yes1515a	f	28.00	0.0357			0.6									
constant	cold		20	yes	15	15	20yes1515d	f	28.14	0.0355	6.5	0.230964468	0.7									
constant	cold		20	yes	15	15	20yes1515b	f	29.00	0.0345			0.9									
constant	cold		20	yes	15	15	20yes1515c	f	28.33	0.0353			0.9									
constant	cold		20	yes	15	15	20yes1515d	m			7.733333	0.274788484										
constant	cold		20	no	15	16	20no1516b	f	30.17	0.0331			0.6									
constant	cold		20	no	15	16	20no1516a	f	28.88	0.0346	6.9	0.238961039	0.8									
constant	cold		20	no	15	16	20no1516b	m			7.8	0.258563533										
constant	cold		20	no	15	16	20no1516a	m			7.65	0.264935065										
constant	cold		20	yes	15	16	20yes1516b	f	28.00	0.0357			0.4									
constant	cold		20	yes	15	16	20yes1516c	f	28.71	0.0348			0.7									
constant	cold		20	yes	15	16	20yes1516d	f	28.92	0.0346	6.866667	0.237463986	1									
constant	cold		20	yes	15	16	20yes1516a	f	28.90	0.0346			1									
constant	cold		20	yes	15	16	20yes1516d	m			7.75	0.268011524										
constant	hot		20	no	15	1	20no151a	f	29.00	0.0345	6.85	0.236206897	0.714285714									
constant	hot		20	no	15	1	20no151b	f	28.25	0.0354	6.55	0.231858407	0.8									
constant	hot		20	no	15	1	20no151a	m			7.4	0.255172414										
constant	hot		20	no	15	1	20no151b	m			7.3	0.25840708										
constant	hot		20	yes	15	1	20yes151a	f	28.67	0.0349	6.55	0.228488369	0.9									
constant	hot		20	yes	15	1	20yes151a	m			7.6	0.265116276										
constant	hot		20	no	15	2	20no152b	f	27.57	0.0363	6.3	0.228497406	0.7									
constant	hot		20	no	15	2	20no152a	f	28.89	0.0346	6.3	0.218076922	0.9									
constant	hot		20	no	15	2	20no152a	m			6.6	0.228461538										
constant	hot		20	no	15	2	20no152b	m			7.6	0.275647664										
constant	hot		20	yes	15	2	20yes152a	f	28.75	0.0348	6.6	0.229565217	0.8									
constant	hot		20	yes	15	2	20yes152a	m			7.3	0.253913043										
constant	hot		20	no	15	3	20no153a	f	28.25	0.0354	6.6	0.233628319	0.8									
constant	hot		20	no	15	3	20no153a	m			7.35	0.260176991										
constant	hot		20	yes	15	3	20yes153a	f	28.44	0.0352	6.55	0.230273441	0.9									
constant	hot		20	yes	15	3	20yes153a	m			7.4	0.260156254										
constant	hot		20	no	15	4	20no154b	f	27.80	0.0360	6.58	0.236690647	0.5									
constant	hot		20	no	15	4	20no154a	f	30.25	0.0331			0.8									
constant	hot		20	no	15	4	20no154a	m			7.125	0.23553719										
constant	hot		20	no	15	4	20no154b	m			7.5	0.269784173										
constant	hot		20	yes	15	4	20yes154a	f	28.71	0.0348	6.65	0.231592037	0.7									
constant	hot		20	yes	15	4	20yes154a	m			7.4	0.25771144										
constant	hot		20	no	15	5	20no155a	f	28.60	0.0350	6.25	0.218531469	1									
constant	hot		20	no	15	5	20no155a	m			7.2	0.251748252										
constant	hot		20	yes	15	5	20yes155a	f	28.20	0.0355	6.45	0.228723404	0.5									
constant	hot		20	yes	15	5	20yes155a	m			7.65	0.271276596										
constant	hot		20	no	15	6	20no156a	f	28.75	0.0348	6.8	0.236521739	0.666666667									
constant	hot		20	no	15	6	20no156a	m			7.666667	0.266666678										
constant	hot		20	yes	15	6	20yes156a	f	27.78	0.0360	6.4	0.230399998	0.9									
constant	hot		20	yes	15	6	20yes156a	m			7.7	0.277199998										
constant	hot		20	no	15	7	20no157a	f	27.56	0.0363	6.75	0.244959673	0.9									
constant	hot		20	no	15	7	20no157b	f	28.90	0.0346	6.5	0.224913495	1									
constant	hot		20	no	15	7	20no157b	m			7.5	0.259515571										
constant	hot		20	no	15	7	20no157a	m			7.35	0.266733867										
constant	hot		20	yes	15	7	20yes157a	f	31.25	0.0320	6.75	0.216	0.4									
constant	hot		20	yes	15	7	20yes157a	m			6.8	0.2176										
constant	hot		20	no	15	8	20no158a	f	27.43	0.0365	6.3	0.229687504	1									
constant	hot		20	no	15	8	20no158a	m			7.4	0.269791671										
constant	hot		20	yes	15	8	20yes158a	f	29.22	0.0342	6.6	0.225855515	0.9									
constant	hot		20	yes	15	8	20yes158a	m			7.1	0.242965781										
variable	inter	fromCOLD	20	no	15	25	20no1525a	f	27.67	0.0361	6.65	0.240361443	0.3									
variable	inter	fromCOLD	20	no	15	25	20no1525a	m			7.3	0.263855419										
variable	inter	fromCOLD	20	yes	15	25	20yes1525a	f	27.00	0.0370	6.45	0.238888889	0.5									
variable	inter	fromCOLD	20	yes	15	25	20yes1525a	m			7.2	0.266666667										
variable	inter	fromHOT	20	no	15	26	20no1526a	f	28.33	0.0353	6.75	0.238235297	0.3									
variable	inter	fromHOT	20	no	15	26	20no1526b	f	28.00	0.0357			0.4									
variable	inter	fromHOT	20	no	15	26	20no1526a	m			7.5	0.264705885										
variable	inter	fromHOT	20	no	15	26	20no1526b	m			7.7	0.275										
variable	inter	fromHOT	20	yes	15	26	20yes1526a	f	28.00	0.0357												
variable	inter	fromHOT	20	yes	15	26	20yes1526b	f	27.25	0.0367	7.45	0.273394495	0.666666667									
variable	inter	fromHOT	20	yes	15	26	20yes1526b	m			7.65	0.280733945										
variable	inter	fromHOT	20	yes	15	26	20yes1526a	m			8.2	0.292857143										
variable	inter	fromHOT	20	yes	15	27	20yes1527a	f	28.80	0.0347	6.85	0.237847222	0.625									
variable	inter	fromHOT	20	yes	15	27	20yes1527a	m			7.75	0.269097222										
variable	inter	fromCOLD	20	no	15	28	20no1528a	f	28.63	0.0349	6.8	0.237554585	0.8									
variable	inter	fromCOLD	20	no	15	28	20no1528a	m			7.3	0.255021834										
variable	inter	fromCOLD	20	yes	15	28	20yes1528a	f	28.20	0.0355	6	0.212765957	0.5									
variable	inter	fromCOLD	20	yes	15	28	20yes1528a	m			7	0.24822695										
variable	inter	fromHOT	20	no	15	29	20no1529a	f	28.50	0.0351	6.5	0.228070175	0.4									
variable	inter	fromHOT	20	no	15	29	20no1529a	m			7.4	0.259649123										
variable	inter	fromHOT	20	yes	15	29	20yes1529a	f	29.11	0.0344	6.5	0.223282444	0.9									
variable	inter	fromHOT	20	yes	15	29	20yes1529a	m			7.5	0.257633589										
variable	inter	fromCOLD	20	no	15	30	20no1530a	f	28.80	0.0347	6.5	0.225694444	0.5									
variable	inter	fromCOLD	20	yes	15	30	20yes1530a	f	29.50	0.0339	6.2	0.210169492	0.888888889									
variable	inter	fromCOLD	20	yes	15	30	20yes1530a	m			7.25	0.245762712										
variable	inter	fromCOLD	20	no	15	31	20no1531a	f	28.71	0.0348	6.65	0.231592037	0.7									
variable	inter	fromCOLD	20	no	15	31	20no1531a	m			7.4	0.25771144										
variable	inter	fromCOLD	20	yes	15	31	20yes1531a	f	29.75	0.0336	6.7	0.225210084	0.8									
variable	inter	fromCOLD	20	yes	15	31	20yes1531a	m			7.3	0.245378151										
variable	inter	fromHOT	20	no	15	32	20no1532a	f	30.29	0.0330	6.1	0.201415096	0.7									
variable	inter	fromHOT	20	no	15	32	20no1532a	m			6.75	0.222877361										
variable	inter	fromHOT	20	yes	15	32	20yes1532a	f	29.00	0.0345	6.65	0.229310345	1									
variable	inter	fromHOT	20	yes	15	32	20yes1532a	m			7.4	0.255172414										
variable	intra		20	no	15	17	20no1517a	f	28.75	0.0348	6.65	0.231304348	0.4									
variable	intra		20	no	15	17	20no1517a	m			7.4	0.257391304										
variable	intra		20	yes	15	17	20yes1517a	f	29.00	0.0345	5.95	0.205172414	0.7									
variable	intra		20	yes	15	17	20yes1517b	f	29.36	0.0341			1									
variable	intra		20	yes	15	17	20yes1517a	m			7.45	0.256896552										
variable	intra		20	no	15	19	20no1519a	f	30.38	0.0329	6.6	0.217283951	0.8									
variable	intra		20	no	15	19	20no1519a	m			7.7	0.253497942										
variable	intra		20	yes	15	19	20yes1519b	f	29.00	0.0345	5.666667	0.19540231	0.4									
variable	intra		20	yes	15	19	20yes1519a	f	29.00	0.0345	5.9	0.203448276	0.4									
variable	intra		20	yes	15	19	20yes1519a	m			6.7	0.231034483										
variable	intra		20	yes	15	19	20yes1519b	m			7	0.24137931										
variable	intra		20	no	15	22	20no1522a	f	29.50	0.0339	6.6	0.223728814	0.4									
variable	intra		20	no	15	22	20no1522a	m			7.55	0.255932203										
variable	intra		20	yes	15	22	20yes1522b	f	29.00	0.0345	6.6	0.227586207	0.2									
variable	intra		20	yes	15	22	20yes1522a	f	29.50	0.0339			0.4									
variable	intra		20	yes	15	22	20yes1522a	m			6.533333	0.221468915										
variable	intra		20	yes	15	22	20yes1522b	m			7.2	0.248275862										
variable	intra		20	no	15	23	20no1523a	f	28.44	0.0352	6.4	0.225000004	0.9									
variable	intra		20	no	15	23	20no1523a	m			7.2	0.253125004										
variable	intra		20	yes	15	23	20yes1523a	f	28.25	0.0354	6.2	0.219469027	0.4									
variable	intra		20	yes	15	23	20yes1523b	f	29.00	0.0345	6.6	0.227586207	0.8									
variable	intra		20	yes	15	23	20yes1523b	m			7.4	0.255172414										
variable	intra		20	no	15	24	20no1524a	f	28.86	0.0347	6.6	0.22871287	0.7									
variable	intra		20	no	15	24	20no1524a	m			7.7	0.266831682										
variable	intra		20	yes	15	24	20yes1524a	f	29.25	0.0342	6.1	0.208547009	0.8									
variable	intra		20	yes	15	24	20yes1524b	f	30.20	0.0331	6.4	0.21192053	1									
variable	intra		20	yes	15	24	20yes1524a	m			7.1	0.242735043										
variable	intra		20	yes	15	24	20yes1524b	m			7.4	0.245033113										
constant	cold		20	no	23	9	20no239a	f	13.00	0.0769			0.4									
constant	cold		20	no	23	9	20no239c	f	13.29	0.0753	6.75	0.508064527	0.7									
constant	cold		20	no	23	9	20no239c	m			7.6	0.572043023										
constant	cold		20	no	23	9	20no239a	m			7.6	0.584615385										
constant	cold		20	yes	23	9	20yes239c	f	12.88	0.0777			0.8									
constant	cold		20	yes	23	9	20yes239a	f	12.75	0.0784			0.8									
constant	cold		20	yes	23	9	20yes239b	f	12.63	0.0792			0.8									
constant	cold		20	yes	23	9	20yes239d	f	12.67	0.0789	6.4	0.505263145	0.9									
constant	cold		20	yes	23	9	20yes239d	m			7.5	0.592105248										
constant	cold		20	no	23	10	20no2310a	f	12.50	0.0800	6.25	0.5	0.8									
constant	cold		20	yes	23	10	20yes2310d	f	12.20	0.0820	6.7	0.549180328	0.5									
constant	cold		20	yes	23	10	20yes2310c	f	12.57	0.0795			0.7									
constant	cold		20	yes	23	10	20yes2310a	f	12.63	0.0792			0.8									
constant	cold		20	yes	23	10	20yes2310b	f	12.38	0.0808			0.8									
constant	cold		20	yes	23	10	20yes2310d	m			7.7	0.631147541										
constant	cold		20	no	23	11	20no2311a	f	13.20	0.0758	6.1	0.462121212	0.5									
constant	cold		20	yes	23	11	20yes2311c	f	13.17	0.0759			0.6									
constant	cold		20	yes	23	11	20yes2311b	f	13.43	0.0745			0.7									
constant	cold		20	yes	23	11	20yes2311a	f	12.56	0.0796			0.9									
constant	cold		20	yes	23	11	20yes2311d	f	12.92	0.0774	6.5	0.502976187	1									
constant	cold		20	yes	23	11	20yes2311d	m			7.7	0.59583333										
constant	cold		20	no	23	12	20no2312a	f	12.33	0.0811	6.5	0.527027041	0.3									
constant	cold		20	no	23	12	20no2312a	m			7.1	0.575675691										
constant	cold		20	yes	23	12	20yes2312a	f	12.83	0.0779	6.435714	0.501484221	0.6									
constant	cold		20	no	23	14	20no2314a	f	13.40	0.0746			1									
constant	cold		20	yes	23	14	20yes2314a	f	12.71	0.0787			0.7									
constant	cold		20	yes	23	14	20yes2314b	f	12.54	0.0798	6.696429	0.534071005	1									
constant	cold		20	no	23	15	20no2315a	f	13.00	0.0769	6.6	0.507692308	0.3									
constant	cold		20	no	23	15	20no2315a	m			7.3	0.561538462										
constant	cold		20	yes	23	15	20yes231215a	f	11.75	0.0851			0.4									
constant	cold		20	yes	23	15	20yes231215c	f	12.43	0.0805			0.7									
constant	cold		20	yes	23	15	20yes2315d	f	11.88	0.0842	6.466667	0.544561432	0.8									
constant	cold		20	yes	23	15	20yes2315a	f	12.38	0.0808			0.8									
constant	cold		20	yes	23	15	20yes2315b	f	11.63	0.0860			0.8									
constant	cold		20	yes	23	15	20yes2315c	f	12.78	0.0783			0.9									
constant	cold		20	yes	23	15	20yes231215b	f	12.11	0.0826			0.9									
constant	cold		20	yes	23	15	20yes2315d	m			7.5	0.631578947										
constant	cold		20	no	23	16	20no2316a	f	13.33	0.0750	6.2	0.465000012	0.9									
constant	cold		20	no	23	16	20no2316a	m			7.75	0.581250015										
constant	cold		20	yes	23	16	20yes2316d	f	12.00	0.0833	6.6	0.55	0.2									
constant	cold		20	yes	23	16	20yes2316c	f	12.40	0.0806			0.5									
constant	cold		20	yes	23	16	20yes2316b	f	12.00	0.0833			0.5									
constant	cold		20	yes	23	16	20yes2316a	f	13.00	0.0769			0.6									
constant	cold		20	yes	23	16	20yes2316d	m			7.7	0.641666667										
constant	hot		20	no	23	1	20no231a	f	12.29	0.0814			0.7									
constant	hot		20	no	23	1	20no231b	f	11.78	0.0849	6.3	0.53490565	0.9									
constant	hot		20	no	23	1	20no231a	m			7.325	0.596220944										
constant	hot		20	no	23	1	20no231b	m			7.5	0.636792441										
constant	hot		20	yes	23	1	20yes231a	f	12.14	0.0824	6.1	0.502352947	0.7									
constant	hot		20	yes	23	1	20yes231a	m			7.4	0.609411772										
constant	hot		20	no	23	2	20no232b	f	11.83	0.0845	6.5	0.54929579	0.6									
constant	hot		20	no	23	2	20no232a	f	11.63	0.0860	6.35	0.546236559	0.8									
constant	hot		20	no	23	2	20no232b	m			7.233333	0.611267595										
constant	hot		20	no	23	2	20no232a	m			7.4	0.63655914										
constant	hot		20	yes	23	2	20yes232a	f	11.60	0.0862	6.5	0.560344828	1									
constant	hot		20	yes	23	2	20yes232a	m			7.05	0.607758621										
